PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Luke Babbitt,NOP,27,6-9,225,Nevada-Reno,USA,2010,1,16,47,327,148,53,-2.5,2.80%,14.70%,16.80%,52.60%,9.20%
Luis Scola,TOR,36,6-9,240,None,Argentina,2002,2,55,76,664,360,66,-1.9,5.20%,17.90%,19.00%,52.30%,6.60%
Luis Montero,POR,23,6-7,185,Westchester C.C.,Dominican Rep...,Undrafted,Undrafted,Undrafted,12,14.00,4,1,-47.8,0.00%,10.80%,25.50%,33.70%,6.70%
Lucas Nogueira,TOR,23,7-0,220,None,Brazil,2013,1,16,29,65,46,7,4.3,7.90%,11.70%,12.00%,64.20%,4.40%
Luc Mbah a Moute,LAC,29,6-8,230,UCLA,Cameroon,2008,2,37,75,231,171,30,8.3,4.90%,8.10%,9.50%,49.80%,3.20%
Lou Williams,LAL,29,6-1,175,None,USA,2005,2,45,67,"1,028.00",169,167,-10.2,1.50%,7.20%,22.10%,58.40%,14.90%
Lou Amundson,NYK,33,6-9,220,UNLV,USA,Undrafted,Undrafted,Undrafted,29,52,49,12,-11.1,9.80%,11.80%,16.60%,40.10%,10.70%
Lorenzo Brown,DET,25,6-5,189,North Carolina State,USA,2013,2,52,8,20.00,7,11,-24.5,0.00%,14.60%,24.80%,37.40%,30.60%
Leandro Barbosa,GSW,33,6-3,194,None,Brazil,2003,1,28,68,433.00,117,82,2.6,2.50%,7.90%,17.40%,54.50%,11.20%
LeBron James,CLE,31,6-8,250,None,USA,2003,1,1,76,"1,920.00",565,514,11.4,4.20%,16.70%,30.50%,58.80%,33.90%
Lavoy Allen,IND,27,6-9,255,Temple,USA,2011,2,50,79,428.00,424,76,6,10.10%,15.90%,12.80%,53.20%,7.00%
Larry Nance Jr.,LAL,23,6-9,230,Wyoming,USA,2015,1,27,63,349,312,44,-3.4,7.60%,16.50%,12.40%,54.40%,5.50%
Langston Galloway,NYK,24,6-2,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,82,625,288,207,-2.6,2.00%,11.50%,15.10%,49.00%,16.10%
Lance Thomas,NYK,28,6-8,235,Duke,USA,Undrafted,Undrafted,Undrafted,59,484,131,53,-0.6,2.70%,6.90%,16.60%,55.70%,6.60%
Lance Stephenson,MEM,25,6-5,230,Cincinnati,USA,2010,2,40,69,573.00,223,133,-2.5,2.90%,13.50%,19.40%,54.80%,15.20%
Lamar Patterson,ATL,24,6-5,225,Pittsburgh,USA,2014,2,48,35,84,50,39,4.2,1.00%,12.20%,12.30%,46.80%,13.40%
LaMarcus Aldridge,SAS,30,6-11,240,University of Texas at Austin,USA,2006,1,2,74,"1,331.00",632,110,11.7,8.40%,19.90%,25.80%,56.50%,8.10%
Kyrie Irving,CLE,24,6-3,193,Duke,Australia,2011,1,1,53,"1,041.00",157,250,5.8,2.60%,7.10%,28.50%,54.00%,25.30%
Kyle Singler,OKC,28,6-8,228,Duke,USA,2011,2,33,68,231,141,24,-0.6,4.80%,8.70%,11.30%,48.10%,3.50%
Kyle O'Quinn,NYK,26,6-10,250,Norfolk State,USA,2012,2,49,65,309,250,72,-3.9,9.70%,20.80%,20.60%,52.00%,16.10%
Kyle Lowry,TOR,30,6-0,205,Villanova,USA,2006,1,24,77,"1,634.00",365,494,6.4,2.00%,11.10%,25.60%,57.80%,29.30%
Kyle Korver,ATL,35,6-7,212,Creighton,USA,2003,2,51,80,739,260,164,7.2,0.60%,9.60%,13.20%,57.70%,9.50%
Kyle Anderson,SAS,22,6-9,230,UCLA,USA,2014,1,30,78,350,244,123,8.6,2.20%,17.90%,14.30%,52.80%,14.00%
Kristaps Porzingis,NYK,20,7-3,240,None,Latvia,2015,1,4,72,"1,028.00",526,94,0.3,6.30%,18.40%,24.30%,51.80%,7.60%
Kris Humphries,ATL,31,6-9,235,Minnesota,USA,2004,1,14,53,343,218,36,-4.3,6.40%,19.00%,18.90%,51.70%,6.80%
Kostas Papanikolaou,DEN,25,6-8,235,None,Greece,2012,2,48,26,67,40,16,-2.4,2.70%,10.70%,14.10%,46.40%,7.70%
Kosta Koufos,SAC,27,7-0,265,Ohio State,USA,2008,1,23,78,529,423,33,-6.6,10.70%,17.00%,15.20%,54.00%,3.40%
Kobe Bryant,LAL,37,6-6,212,None,USA,1996,1,13,66,"1,161.00",247,184,-14.8,2.00%,11.10%,31.40%,46.90%,18.30%
Klay Thompson,GSW,26,6-7,215,Washington State,USA,2011,1,11,80,"1,771.00",306,166,14.6,1.40%,9.00%,26.00%,59.70%,9.40%
Kirk Hinrich,ATL,35,6-4,190,Kansas,USA,2003,1,7,46,137,70,73,1.3,1.20%,9.30%,11.30%,50.40%,17.30%
Khris Middleton,MIL,24,6-8,234,Texas A&M,USA,2012,2,39,79,"1,434.00",302,331,-0.8,1.60%,9.10%,22.40%,56.00%,18.30%
Kevon Looney,GSW,20,6-9,220,UCLA,USA,2015,1,30,5,9.00,10,0,-46.8,15.40%,35.30%,14.00%,64.30%,0.00%
Kevin Seraphin,NYK,26,6-10,278,None,France,2010,1,17,48,187,126,47,-7.6,5.60%,17.20%,21.90%,43.50%,15.70%
Kevin Martin,SAS,33,6-7,199,Western Carolina,USA,2004,1,26,55,514,110,58,-5.4,1.30%,9.00%,21.70%,52.00%,8.90%
Kevin Love,CLE,27,6-10,251,UCLA,USA,2008,1,5,77,"1,234.00",762,185,8.8,6.40%,25.80%,23.30%,55.30%,11.90%
Kevin Garnett,MIN,40,6-11,240,None,USA,1995,1,5,38,122,150,62,4.6,2.80%,23.50%,11.40%,49.10%,16.40%
Kevin Durant,OKC,27,6-9,240,Texas-Austin,USA,2007,1,2,72,"2,029.00",589,361,11.6,1.80%,18.80%,29.80%,63.40%,23.00%
Kentavious Caldwell-Pope,DET,23,6-5,205,Georgia,USA,2013,1,8,76,"1,105.00",282,138,2.6,2.30%,7.70%,17.70%,52.10%,7.50%
Kent Bazemore,ATL,26,6-5,201,Old Dominion,USA,Undrafted,Undrafted,Undrafted,75,872,379,171,2.3,1.30%,15.60%,19.50%,55.10%,12.70%
Kenneth Faried,DEN,26,6-8,228,Morehead State,USA,2011,1,22,67,835,581,79,-3.5,13.20%,21.00%,20.30%,57.70%,7.70%
Kendrick Perkins,NOP,31,6-10,270,None,USA,2003,1,27,37,91.00,128,31,-6,4.80%,19.60%,10.30%,52.90%,7.70%
Kendall Marshall,PHI,24,6-4,200,North Carolina,USA,2012,1,13,30,111,28,73,-13.1,0.50%,6.70%,17.90%,44.90%,26.60%
Kemba Walker,CHA,26,6-1,184,Connecticut,USA,2011,1,9,81,"1,689.00",357,421,3.8,1.90%,10.20%,26.10%,55.40%,25.30%
Kelly Oubre Jr.,WAS,20,6-7,205,Kansas,USA,2015,1,15,63,236,133,13,-2.6,3.50%,15.50%,16.60%,50.70%,2.90%
Kelly Olynyk,BOS,25,7-0,238,Gonzaga,Canada,2013,1,13,69,687,281,105,6.8,4.70%,13.80%,20.40%,56.10%,11.90%
Keith Appling,ORL,24,6-1,185,Michigan State,USA,Undrafted,Undrafted,Undrafted,5,6,1,1,27.6,0.00%,3.70%,20.00%,33.80%,5.90%
Kawhi Leonard,SAS,25,6-7,230,San Diego State,USA,2011,1,15,72,"1,523.00",493,186,14.1,4.20%,16.40%,25.20%,61.60%,12.80%
Karl-Anthony Towns,MIN,20,7-0,244,Kentucky,USA,2015,1,1,82,"1,503.00",858,161,-2.5,9.20%,24.20%,24.30%,59.00%,10.80%
KJ McDaniels,HOU,23,6-6,205,Clemson,USA,2014,2,32,37,89,42,10,14.9,6.70%,9.10%,17.90%,52.20%,5.90%
Jusuf Nurkic,DEN,21,7-0,280,None,Bosnia and He...,2014,1,16,32,263,175,40,-0.6,11.30%,20.00%,26.60%,46.00%,12.30%
Justise Winslow,MIA,20,6-7,225,Duke,USA,2015,1,10,78,502,403,118,2.4,3.80%,14.00%,12.20%,48.90%,7.70%
Justin Holiday,CHI,27,6-6,185,Washington,USA,Undrafted,Undrafted,Undrafted,53,239.00,90,56,-4,1.50%,9.80%,16.00%,48.90%,11.10%
Justin Harper,BKN,26,6-10,225,Richmond,USA,2011,2,32,5,13,1,0,-48.8,0.00%,3.80%,16.70%,59.70%,0.00%
Justin Anderson,DAL,22,6-6,228,Virginia,USA,2015,1,21,55,208,132,29,1.4,2.60%,16.70%,15.20%,52.20%,7.10%
Julius Randle,LAL,21,6-9,250,Kentucky,USA,2014,1,7,81,919,829,144,-14.1,6.90%,29.20%,20.90%,48.20%,11.10%
Jrue Holiday,NOP,26,6-4,205,UCLA,USA,2009,1,17,65,"1,089.00",195,391,0.6,1.40%,9.40%,28.30%,52.90%,36.50%
Josh Smith,HOU,30,6-9,225,None,USA,2004,1,17,55,332,192,90,-4.7,5.30%,15.40%,22.10%,43.90%,17.20%
Josh Richardson,MIA,22,6-6,200,Tennessee,USA,2015,2,40,52,341,107,73,1.8,2.00%,7.50%,13.40%,56.90%,9.80%
Josh McRoberts,MIA,29,6-10,240,Duke,USA,2007,2,37,42,150.00,105,81,0.6,3.90%,13.90%,14.80%,45.30%,20.40%
Josh Huestis,OKC,24,6-7,230,Stanford,USA,2014,1,29,5,14,10,0,4.6,3.80%,13.80%,13.50%,50.90%,0.00%
Jose Calderon,NYK,34,6-3,200,None,Spain,Undrafted,Undrafted,Undrafted,72,544,229,298,-1.7,1.10%,9.80%,12.40%,57.10%,21.30%
Jorge Gutierrez,CHA,27,6-3,189,California,Mexico,Undrafted,Undrafted,Undrafted,12,22,7,17,4.4,0.00%,9.20%,14.80%,69.40%,39.50%
Jordan Mickey,BOS,21,6-8,235,Louisiana State,USA,2015,2,33,16,21,13,1,5.8,9.10%,11.10%,19.30%,39.80%,3.00%
Jordan McRae,CLE,25,6-5,179,Tennessee,USA,2014,2,58,22,99,20,25,12.7,2.10%,7.50%,24.40%,54.80%,21.60%
Jordan Hill,IND,28,6-10,235,Arizona,USA,2009,1,8,73,645,451,87,1.3,10.00%,18.60%,20.10%,53.40%,9.60%
Jordan Hamilton,NOP,25,6-7,220,Texas-Austin,USA,2011,1,26,11,125,62,25,-10,3.90%,17.20%,20.30%,49.90%,12.80%
Jordan Farmar,MEM,29,6-2,180,UCLA,USA,2006,1,26,12,110,25,37,-11.7,1.20%,8.50%,17.80%,52.70%,19.80%
Jordan Clarkson,LAL,24,6-5,194,Missouri,USA,2014,2,46,79,"1,225.00",313,192,-12.1,3.30%,8.60%,22.50%,51.60%,13.90%
Jordan Adams,MEM,21,6-5,209,UCLA,USA,2014,1,22,2,7,2,3,14.8,0.00%,16.70%,28.60%,42.70%,27.30%
Jonathon Simmons,SAS,26,6-6,195,Houston,USA,2012,0,0,55,331,96,58,6.3,2.20%,9.90%,18.30%,58.60%,10.80%
Jonas Valanciunas,TOR,24,7-0,255,None,Lithuania,2011,1,5,60,768.00,547,42,3.7,12.50%,24.50%,20.40%,61.00%,4.50%
Jonas Jerebko,BOS,29,6-10,231,None,Sweden,2009,2,39,78,340,288,62,3,6.00%,17.00%,13.30%,53.10%,7.80%
Jon Leuer,PHX,27,6-10,228,Wisconsin,USA,2011,2,40,67,567,373,72,-2.2,5.80%,23.00%,19.50%,55.50%,9.00%
Johnny O'Bryant III,MIL,23,6-9,257,Louisiana State,USA,2014,2,36,66,200,176,32,-6.9,7.90%,13.30%,13.50%,44.10%,5.70%
John Wall,WAS,25,6-4,195,Kentucky,USA,2010,1,1,77,"1,531.00",379,789,1.7,1.50%,12.20%,28.00%,51.00%,44.90%
John Jenkins,PHX,25,6-4,215,Vanderbilt,USA,2012,1,23,43,178,57,35,-6.9,1.50%,9.40%,16.70%,52.20%,11.10%
John Henson,MIL,25,6-11,229,North Carolina,USA,2012,1,14,57,397,221,54,-6.8,9.20%,13.30%,18.80%,58.00%,9.60%
Joffrey Lauvergne,DEN,24,6-11,220,None,France,2013,2,55,59,465,290,56,-9.8,7.30%,20.40%,19.60%,56.70%,9.30%
Joel Anthony,DET,33,6-9,245,UNLV,Canada,Undrafted,Undrafted,Undrafted,19,18.00,21,1,-11,7.70%,13.50%,7.10%,66.60%,2.00%
Joe Young,IND,24,6-2,180,Oregon,USA,2015,2,43,41,154.00,50,65,-4.4,1.50%,10.60%,23.30%,42.80%,26.10%
Joe Johnson,MIA,35,6-7,240,Arkansas,USA,2001,1,10,81,992,292,318,-0.9,1.90%,9.20%,17.80%,53.80%,17.20%
Joe Ingles,UTA,28,6-8,226,None,Australia,Undrafted,Undrafted,Undrafted,81,342,151,96,-0.9,1.50%,10.90%,12.80%,57.20%,12.50%
Joe Harris,CLE,24,6-6,219,Virginia,USA,2014,2,33,5,3,3,2,-73.9,0.00%,33.30%,12.80%,37.50%,18.20%
Jodie Meeks,DET,28,6-4,210,Kentucky,USA,2009,2,41,3,22.00,5,3,3.9,2.20%,8.90%,23.20%,50.60%,14.30%
Joakim Noah,CHI,31,6-11,232,Florida,USA,2007,1,9,29,124,255,110,-1.2,12.30%,23.50%,13.70%,40.60%,25.60%
Jimmy Butler,CHI,26,6-7,220,Marquette,USA,2011,1,30,67,"1,399.00",358,321,-0.3,3.10%,10.30%,24.20%,56.20%,21.80%
Jimmer Fredette,SAS,27,6-2,195,Brigham Young,USA,2011,1,10,6,9,0,1,-65.8,0.00%,0.00%,22.50%,62.50%,50.00%
Jerryd Bayless,MIL,27,6-3,200,Arizona,USA,2008,1,11,52,541,141,163,-6,1.50%,8.10%,16.40%,56.80%,16.80%
Jerian Grant,NYK,23,6-4,195,Notre Dame,USA,2015,1,19,76,426.00,143,177,-6.5,1.70%,9.10%,18.50%,47.90%,23.60%
Jeremy Lin,CHA,27,6-3,200,Harvard,USA,Undrafted,Undrafted,Undrafted,78,914.00,253,235,2.2,2.00%,9.70%,21.70%,53.40%,19.20%
Jeremy Lamb,CHA,24,6-5,185,Connecticut,USA,2012,1,12,66,580,252,77,6.2,3.50%,15.70%,21.40%,52.90%,11.10%
Jeremy Evans,DAL,28,6-9,200,Western Kentucky,USA,2010,2,55,30,71.00,54,2,-5.6,4.20%,15.10%,10.90%,62.00%,1.30%
Jerami Grant,PHI,22,6-8,210,Syracuse,USA,2014,2,39,77,749,361,135,-10.7,4.60%,12.20%,17.90%,50.60%,10.60%
Jeff Withey,UTA,26,7-0,231,Kansas,USA,2013,2,39,51,217,173,20,3,8.90%,18.30%,14.90%,57.70%,5.10%
Jeff Teague,ATL,28,6-2,186,Wake Forest,USA,2009,1,19,79,"1,239.00",214,470,1.1,1.40%,7.40%,25.90%,55.10%,34.10%
Jeff Green,LAC,29,6-9,235,Georgetown,USA,2007,1,5,80,939.00,332,138,-1,3.30%,11.60%,20.40%,51.00%,10.20%
Jeff Ayres,LAC,29,6-9,250,Arizona State,USA,2009,2,31,17,30,22,5,-20.5,4.00%,15.40%,13.40%,58.50%,7.80%
Jason Thompson,TOR,29,6-11,250,Rider University,USA,2008,1,12,47,147.00,134,29,-1.1,6.70%,20.90%,13.70%,55.80%,9.40%
Jason Terry,HOU,38,6-2,185,Arizona,USA,1999,1,10,72,422.00,79,103,-0.8,1.10%,5.20%,14.60%,54.00%,12.50%
Jason Smith,ORL,30,7-0,240,Colorado State,USA,2007,1,20,76,546,219,62,-1.1,4.50%,14.40%,21.80%,51.30%,8.70%
Jarrett Jack,BKN,32,6-3,200,Georgia Tech,USA,2005,1,22,32,411,136,236,-6,0.90%,12.50%,20.90%,50.50%,34.00%
Jarnell Stokes,MEM,22,6-9,263,Tennessee,USA,2014,2,35,7,7,4,1,23.7,5.90%,15.00%,13.30%,59.50%,8.30%
Jarell Martin,MEM,22,6-10,239,Louisiana State,USA,2015,1,25,27,153.00,86,15,-4.1,9.10%,13.10%,17.90%,53.40%,6.50%
Jarell Eddie,WAS,24,6-7,218,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,26,63,23,5,-12.4,1.20%,13.40%,19.10%,46.00%,5.80%
Jared Sullinger,BOS,24,6-9,260,Ohio State,USA,2012,1,21,81,834,673,187,5.3,9.40%,24.30%,21.60%,47.60%,14.80%
Jared Dudley,WAS,30,6-7,225,Boston College,USA,2007,1,22,81,638.00,286,171,1.7,2.60%,11.30%,12.70%,60.20%,11.20%
Jared Cunningham,CLE,25,6-4,195,Oregon State,USA,2012,1,24,44,120,38,20,-4.8,0.80%,8.80%,16.60%,46.40%,7.40%
James Young,BOS,20,6-6,215,Kentucky,USA,2014,1,17,29,29,26,9,-5.7,1.90%,11.30%,9.20%,38.40%,6.30%
James Michael McAdoo,GSW,23,6-9,240,North Carolina,USA,Undrafted,Undrafted,Undrafted,41,117.00,58,17,-17.1,10.70%,11.50%,19.40%,55.40%,11.00%
James Jones,CLE,35,6-8,218,Miami,USA,2003,2,49,48,178.00,50,14,-3.6,1.60%,8.70%,15.60%,58.00%,5.40%
James Johnson,TOR,29,6-9,250,Wake Forest,USA,2009,1,16,57,287,126,67,-0.2,3.10%,11.00%,15.70%,53.20%,11.30%
James Harden,HOU,26,6-5,220,Arizona State,USA,2009,1,3,82,"2,376.00",501,612,1.6,1.90%,14.00%,31.90%,59.80%,35.40%
James Ennis III,NOP,25,6-7,210,California State-Long Beach,USA,2013,2,50,22,159,42,21,-5.8,6.60%,6.90%,19.60%,62.10%,10.40%
James Anderson,SAC,27,6-6,213,Oklahoma State,USA,2010,1,20,51,179,86,41,-4.8,1.70%,9.10%,13.40%,46.90%,7.80%
Jameer Nelson,DEN,34,6-0,190,St. Joseph's (PA),USA,2004,1,20,39,299,115,190,-7.1,1.70%,9.70%,16.30%,46.40%,28.70%
Jamal Crawford,LAC,36,6-5,195,Michigan,USA,2000,1,8,79,"1,120.00",145,183,2,0.90%,5.80%,23.90%,52.90%,14.50%
Jahlil Okafor,PHI,20,6-11,275,Duke,USA,2015,1,3,53,928.00,373,65,-15.7,7.50%,16.00%,27.20%,53.60%,8.80%
Jae Crowder,BOS,25,6-6,235,Marquette,USA,2012,2,34,73,"1,038.00",373,135,4.8,2.80%,12.50%,18.10%,56.50%,8.70%
Jabari Parker,MIL,21,6-8,250,Duke,USA,2014,1,2,76,"1,070.00",395,130,-3.8,5.30%,11.40%,20.60%,53.50%,8.60%
JaVale McGee,DAL,28,7-0,270,Nevada-Reno,USA,2008,1,18,34,172,133,3,-6.2,13.60%,20.80%,20.60%,57.40%,1.50%
JaMychal Green,MEM,26,6-9,227,Alabama,USA,Undrafted,Undrafted,Undrafted,78,578.00,373,67,-1.3,9.20%,17.40%,18.80%,52.00%,7.40%
JaKarr Sampson,DEN,23,6-9,214,St. John's,USA,Undrafted,Undrafted,Undrafted,73,374,190,46,-7.1,3.80%,11.80%,16.50%,50.40%,6.20%
JR Smith,CLE,30,6-6,225,No College,USA,2004,1,18,77,955,217,130,6.5,1.80%,7.60%,17.70%,54.20%,8.20%
JJ Redick,LAC,32,6-4,190,Duke,USA,2006,1,11,75,"1,226.00",139,106,11.5,0.50%,5.70%,22.00%,63.20%,8.00%
JJ O'Brien,UTA,24,6-7,220,San Diego State,USA,Undrafted,Undrafted,Undrafted,2,0,1,0,-48.6,0.00%,20.00%,7.10%,0.00%,0.00%
JJ Hickson,WAS,27,6-9,242,North Carolina State,USA,2008,1,19,35,206,132,23,-7.2,8.30%,20.10%,22.00%,51.40%,9.10%
J.J. Barea,DAL,32,6-0,185,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,74,808,152,302,-2,1.50%,7.50%,22.90%,53.60%,30.10%
Ish Smith,PHI,27,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,77,972,305,502,-7.3,1.80%,11.40%,23.50%,46.50%,37.00%
Isaiah Thomas,BOS,27,5-9,185,Washington,USA,2011,2,60,82,"1,823.00",243,509,5,1.60%,7.10%,28.90%,56.20%,31.20%
Isaiah Canaan,PHI,25,6-0,201,Murray State,USA,2013,2,34,77,846,174,137,-12.3,0.90%,7.90%,19.10%,52.80%,12.00%
Iman Shumpert,CLE,26,6-5,220,Georgia Tech,USA,2011,1,17,54,311.00,203,92,7.8,2.50%,12.70%,13.00%,47.50%,10.00%
Ian Mahinmi,IND,29,6-11,250,None,France,2005,1,28,71,660,507,104,3.6,7.60%,19.70%,15.70%,60.30%,9.00%
Ian Clark,GSW,25,6-3,175,Belmont,USA,Undrafted,Undrafted,Undrafted,66,236.00,68,64,-7.6,2.30%,9.00%,19.30%,54.40%,17.10%
Hollis Thompson,PHI,25,6-8,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,77,758,272,99,-8.8,2.40%,9.90%,15.70%,52.50%,7.20%
Henry Sims,BKN,26,6-10,248,Georgetown,USA,Undrafted,Undrafted,Undrafted,14,91,72,9,-15.7,7.20%,20.80%,16.80%,50.40%,5.40%
Hassan Whiteside,MIA,27,7-0,265,Marshall,USA,2010,2,33,73,"1,040.00",865,29,1.9,11.60%,28.20%,20.10%,62.90%,2.20%
Harrison Barnes,GSW,24,6-8,225,North Carolina,USA,2012,1,7,66,774,325,117,10.2,3.80%,11.40%,15.60%,55.90%,7.70%
Greivis Vasquez,MIL,29,6-6,217,Maryland,Venezuela,2010,1,28,23,130,47,91,-9.7,1.10%,9.30%,18.40%,43.50%,32.00%
Greg Smith,MIN,25,6-10,250,Fresno State,USA,Undrafted,Undrafted,Undrafted,18,43,42,6,-19.8,5.90%,16.90%,10.40%,54.50%,4.90%
Greg Monroe,MIL,26,6-11,265,Georgetown,USA,2010,1,7,79,"1,210.00",696,178,-2.4,9.90%,21.50%,23.10%,56.20%,12.80%
Gorgui Dieng,MIN,26,6-11,241,Louisville,Senegal,2013,1,21,82,827,585,143,-0.3,7.70%,19.60%,16.50%,60.10%,9.90%
Gordon Hayward,UTA,26,6-8,226,Butler,USA,2010,1,9,80,"1,578.00",397,296,1.6,2.20%,12.10%,25.00%,55.90%,18.10%
Goran Dragic,MIA,30,6-3,190,None,Slovenia,2008,2,45,72,"1,018.00",277,419,3.6,2.40%,9.10%,21.10%,53.70%,27.60%
Glenn Robinson III,IND,22,6-7,222,Michigan,USA,2014,2,40,45,171,68,26,-3.6,2.20%,10.90%,15.70%,50.80%,7.70%
Giannis Antetokounmpo,MIL,21,6-11,222,None,Greece,2013,1,15,80,"1,350.00",612,345,-3.1,4.20%,18.00%,22.10%,56.60%,19.50%
Gerald Henderson,POR,28,6-5,215,Duke,USA,2009,1,12,72,624,211,75,1.3,2.00%,12.10%,20.10%,52.60%,8.40%
Gerald Green,MIA,30,6-7,205,No College,USA,2005,1,18,69,616,163,56,0.9,1.70%,8.50%,19.20%,49.10%,5.70%
George Hill,IND,30,6-3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,74,894,298,259,1.9,2.30%,9.30%,15.70%,55.50%,15.70%
Gary Neal,WAS,31,6-4,210,Towson,USA,Undrafted,Undrafted,Undrafted,40,390,83,47,-9.9,1.40%,9.30%,20.40%,55.80%,9.90%
Gary Harris,DEN,21,6-4,210,Michigan State,USA,2014,1,19,76,932,220,147,-4.1,2.10%,6.90%,16.00%,56.60%,9.30%
Garrett Temple,WAS,30,6-6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,80,582,212,140,0,1.80%,9.10%,14.00%,52.00%,10.20%
Frank Kaminsky,CHA,23,7-0,240,Wisconsin,USA,2015,1,9,81,606,335,98,-0.9,3.80%,15.00%,16.60%,51.30%,9.50%
Festus Ezeli,GSW,26,6-11,265,Vanderbilt,Nigeria,2012,1,30,46,320,257,32,14.3,12.10%,19.60%,17.70%,55.90%,6.00%
Evan Turner,BOS,27,6-7,220,Ohio State,USA,2010,1,2,81,854,397,359,2,2.00%,14.50%,18.40%,51.30%,24.70%
Evan Fournier,ORL,23,6-7,205,None,France,2012,1,20,79,"1,213.00",225,214,-3.3,1.30%,7.70%,20.00%,58.70%,12.80%
Ersan Ilyasova,ORL,29,6-10,235,None,Turkey,2005,2,36,74,767,403,67,-4,6.90%,15.00%,18.00%,52.60%,5.50%
Erick Green,DEN,25,6-4,185,Virginia Tech,USA,2013,2,46,9,13,6,3,-1.2,8.10%,10.00%,13.80%,46.80%,10.70%
Eric Moreland,SAC,24,6-10,238,Oregon State,USA,Undrafted,Undrafted,Undrafted,8,8,11,1,6.7,6.70%,13.60%,9.60%,51.50%,2.90%
Eric Gordon,NOP,27,6-4,215,Indiana,USA,2008,1,7,45,686,99,121,-2.3,0.70%,5.90%,20.30%,56.50%,12.90%
Eric Bledsoe,PHX,26,6-1,190,Kentucky,USA,2010,1,18,31,632,125,190,-1.7,1.60%,10.00%,27.00%,55.70%,29.80%
Enes Kanter,OKC,24,6-11,245,None,Turkey,2011,1,3,82,"1,038.00",664,33,3.8,14.50%,23.00%,22.90%,62.60%,3.20%
Emmanuel Mudiay,DEN,20,6-5,200,None,Democratic Re...,2015,1,7,68,872,232,372,-3.1,1.50%,9.70%,25.00%,43.70%,28.10%
Elton Brand,PHI,37,6-9,254,Duke,USA,1999,1,1,17,70,63,18,-7,3.40%,22.00%,16.80%,46.10%,14.20%
Elliot Williams,CHA,27,6-5,190,Memphis,USA,2010,1,22,5,8,4,4,-4.6,2.40%,6.80%,13.80%,34.00%,14.30%
Elijah Millsap,UTA,28,6-6,225,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,20,36,35,19,7.4,3.30%,15.20%,14.10%,38.40%,16.40%
Elfrid Payton,ORL,22,6-4,185,Louisana-Lafayette,USA,2014,1,10,73,778,261,467,-1.4,3.40%,8.70%,19.80%,47.80%,31.70%
Edy Tavares,ATL,24,7-3,260,None,Cabo Verde,2014,2,43,11,25,21,3,-4.3,11.50%,19.70%,16.70%,55.50%,5.50%
Ed Davis,POR,27,6-10,240,North Carolina,USA,2010,1,13,81,526,599,88,1,12.50%,21.10%,12.50%,61.60%,7.80%
E'Twaun Moore,CHI,27,6-4,191,Purdue,USA,2011,2,55,59,443,133,99,-0.9,1.50%,8.20%,15.70%,54.80%,11.80%
Dwyane Wade,MIA,34,6-4,220,Marquette,USA,2003,1,5,74,"1,409.00",302,344,-0.4,3.80%,9.60%,31.00%,51.70%,26.70%
Dwight Powell,DAL,24,6-11,240,Stanford,Canada,2014,2,45,69,399.00,273,44,-2.3,8.20%,18.80%,17.50%,55.70%,7.70%
Dwight Howard,HOU,30,6-11,265,None,USA,2004,1,1,71,976,835,98,0.9,10.30%,26.10%,18.40%,60.40%,7.10%
Duje Dukan,SAC,24,6-9,220,Wisconsin,Croatia,Undrafted,Undrafted,Undrafted,1,6,4,1,-15.4,5.10%,6.90%,15.40%,30.00%,6.70%
Drew Gooden,WAS,34,6-10,250,Kansas,USA,2002,1,4,30,82,85,13,-12.2,8.30%,19.80%,16.90%,37.60%,6.60%
Draymond Green,GSW,26,6-7,230,Michigan State,USA,2012,2,35,81,"1,131.00",769,598,18,5.00%,19.80%,18.40%,58.70%,27.70%
Doug McDermott,CHI,24,6-8,225,Creighton,USA,2014,1,11,81,764.00,195,59,-3,1.90%,8.00%,16.60%,56.10%,4.90%
Donatas Motiejunas,HOU,25,7-0,222,None,Lithuania,2011,1,20,37,230,109,41,4,6.90%,12.40%,21.40%,50.40%,11.60%
Donald Sloan,BKN,28,6-3,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,61,424,173,268,-4.5,1.30%,11.90%,16.30%,53.60%,29.30%
Dirk Nowitzki,DAL,38,7-0,245,None,Germany,1998,1,9,75,"1,372.00",489,132,4.2,2.20%,18.20%,24.90%,55.50%,9.60%
Dion Waiters,OKC,24,6-4,220,Syracuse,USA,2012,1,4,78,762,202,154,4.4,1.60%,7.30%,17.30%,49.20%,10.30%
