PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Thabo Sefolosha,ATL,32,6-7,220,None,Switzerland,2006,1,13,75,480,334,107,1.5,3.00%,15.00%,12.10%,57.90%,9.30%
Terry Rozier,BOS,22,6-2,190,Louisville,USA,2015,1,16,39,72,63,37,-7.5,6.20%,11.80%,16.80%,32.60%,19.90%
Terrence Ross,TOR,25,6-7,195,Washington,USA,2012,1,8,73,720,185,56,6,1.20%,9.20%,17.80%,55.10%,5.30%
Terrence Jones,HOU,24,6-9,252,Kentucky,USA,2012,1,18,50,434,211,41,-10.3,5.60%,14.80%,19.00%,51.90%,6.90%
Tayshaun Prince,MIN,36,6-9,212,Kentucky,USA,2002,1,23,77,221,147,74,-4,2.20%,7.80%,8.10%,46.60%,7.30%
Tarik Black,LAL,24,6-9,250,Kansas,USA,Undrafted,Undrafted,Undrafted,39,133,157,16,3.4,8.60%,22.80%,13.00%,53.70%,5.30%
Taj Gibson,CHI,31,6-9,225,USC,USA,2009,1,26,73,627,504,106,-3.1,10.40%,14.00%,14.40%,55.60%,8.30%
T.J. Warren,PHX,22,6-8,230,North Carolina State,USA,2014,1,14,47,515,147,44,-4.7,5.00%,8.80%,19.50%,54.90%,6.80%
T.J. McConnell,PHI,24,6-2,200,Arizona,USA,2015,0,,81,493,250,367,-8.1,2.60%,13.40%,16.70%,51.10%,36.00%
Steven Adams,OKC,22,7-0,255,Pittsburgh,New Zealand,2013,1,12,80,636.00,533,62,11.9,10.90%,14.20%,12.50%,62.10%,4.20%
Steve Novak,MIL,33,6-10,225,Marquette,USA,2006,2,32,10,24,5,0,1.9,0.00%,9.60%,16.20%,65.10%,0.00%
Steve Blake,DET,36,6-3,172,Maryland,USA,2003,2,38,58,254,89,200,-3.3,0.80%,8.30%,14.30%,51.00%,31.10%
Stephen Curry,GSW,28,6-3,190,Davidson,USA,2009,1,7,79,"2,375.00",430,527,17.7,2.60%,11.70%,31.40%,66.90%,31.50%
Stanley Johnson,DET,20,6-7,245,Arizona,USA,2015,1,8,73,593.00,306,118,-3.6,3.10%,14.70%,19.10%,46.00%,11.30%
Spencer Hawes,CHA,28,7-1,245,Washington,USA,2007,1,10,57,340,244,109,1.8,4.70%,17.50%,16.80%,50.80%,17.10%
Spencer Dinwiddie,CHI,23,6-6,200,Colorado,USA,2014,2,38,12,58,17,22,-19.1,2.10%,8.30%,20.70%,42.30%,29.70%
Sonny Weems,PHX,29,6-6,205,Arkansas,USA,2008,2,39,43,107,53,49,-8.1,1.20%,9.80%,12.90%,45.90%,14.80%
Solomon Hill,IND,25,6-7,225,Arizona,USA,2013,1,23,59,246,166,57,3.7,4.30%,13.60%,12.80%,54.30%,9.30%
Shelvin Mack,UTA,26,6-3,203,Butler,USA,2011,2,34,52,448,128,187,4.9,1.30%,11.10%,22.90%,50.70%,29.20%
Shayne Whittington,IND,25,6-11,250,Western Michigan,USA,Undrafted,Undrafted,Undrafted,7,11.00,12,3,-8.1,10.60%,17.10%,17.20%,46.30%,12.00%
Shaun Livingston,GSW,30,6-7,192,None,USA,2004,1,4,78,488,169,237,6.8,2.80%,7.80%,14.00%,58.10%,22.20%
Shane Larkin,BKN,23,5-11,175,Miami,USA,2013,1,18,78,566,180,342,-9.7,1.60%,9.20%,17.20%,51.50%,30.00%
Shabazz Napier,ORL,24,6-1,175,Connecticut,USA,2014,1,24,55,203,55,97,-4.6,1.50%,7.70%,19.60%,46.00%,25.30%
Shabazz Muhammad,MIN,23,6-6,223,UCLA,USA,2013,1,14,82,863,267,52,-7.8,6.20%,10.20%,22.20%,54.80%,5.50%
Seth Curry,SAC,25,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted,44,299.00,60,67,-2.3,1.30%,7.10%,17.20%,60.30%,14.80%
Sergey Karasev,BKN,22,6-7,208,None,Russia,2013,1,19,40,97,58,35,0.3,2.20%,13.10%,11.70%,56.20%,11.40%
Serge Ibaka,OKC,26,6-10,245,None,Republic of t...,2008,1,24,78,983,533,66,10.2,5.70%,14.30%,17.40%,53.30%,3.70%
Sean Kilpatrick,BKN,26,6-4,219,Cincinnati,USA,Undrafted,Undrafted,Undrafted,31,345,56,29,-11,1.80%,7.40%,22.70%,57.60%,7.80%
Sasha Vujacic,NYK,32,6-7,195,None,Slovenia,2004,1,27,61,296,149,84,-1.4,2.60%,13.20%,15.90%,50.30%,14.60%
Sasha Kaun,CLE,31,6-11,260,Kansas,Russia,2008,2,56,25,23,26,3,-6.8,12.10%,13.70%,11.90%,52.70%,5.20%
Sam Dekker,HOU,22,6-9,230,Wisconsin,USA,2015,1,18,3,0,1,0,1.6,0.00%,16.70%,0.00%,0.00%,0.00%
Salah Mejri,DAL,30,7-2,245,None,Tunisia,Undrafted,Undrafted,Undrafted,34,125.00,123,10,5.5,10.50%,19.00%,13.80%,63.60%,3.80%
Ryan Kelly,LAL,25,6-11,230,Duke,USA,2013,2,48,36,152,121,20,1.2,4.00%,20.20%,17.30%,44.00%,7.00%
Ryan Hollins,MEM,31,7-0,240,UCLA,USA,2006,2,50,37,124,98,10,-14.7,9.30%,12.40%,11.60%,63.60%,3.40%
Ryan Anderson,NOP,28,6-10,240,California,USA,2008,1,21,66,"1,124.00",396,73,0.2,6.20%,13.60%,23.80%,54.60%,5.90%
Russell Westbrook,OKC,27,6-3,200,UCLA,USA,2008,1,4,80,"1,878.00",626,834,11.3,5.40%,16.00%,31.10%,55.40%,46.80%
Russ Smith,MEM,25,6-0,165,Louisville,USA,2014,2,47,15,23.00,9,11,-25.3,1.50%,12.90%,21.90%,41.50%,31.40%
Rudy Gobert,UTA,24,7-1,245,None,France,2013,1,27,61,557,668,91,4.9,11.50%,24.20%,14.30%,58.20%,7.30%
Rudy Gay,SAC,29,6-8,230,Connecticut,USA,2006,1,8,70,"1,204.00",456,120,-1.5,4.30%,14.50%,22.20%,53.80%,7.80%
Roy Hibbert,LAL,29,7-2,270,Georgetown,USA,2008,1,17,81,481,398,95,-17.9,6.40%,13.90%,13.00%,50.70%,8.20%
Ronnie Price,PHX,33,6-2,190,Utah Valley,USA,Undrafted,Undrafted,Undrafted,62,331,99,147,-2.3,1.90%,6.00%,13.50%,51.70%,18.70%
Rondae Hollis-Jefferson,BKN,21,6-7,220,Arizona,USA,2015,1,23,29,167,154,43,-3.2,6.10%,17.90%,13.10%,51.90%,10.00%
